Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
6700.0,-0.012775767867277075,5.647319479785147,8592724623736841.0,7000.0,1694.765625,1844.765625,1994.765625,6976.670558480159
6800.0,-0.012970834711720674,5.647310430404848,8986281663544702.0,7000.0,1694.6875,1844.6875,1994.6875,6976.71391256977
6900.0,-0.013165903991178897,5.647301244873222,9391676865289654.0,7000.0,1694.609375,1844.609375,1994.609375,6976.757260702762
7000.0,-0.013360975678772157,5.647291923186904,9809085720747280.0,7000.0,1694.53125,1844.53125,1994.53125,6976.800602878985
7100.0,-0.013556049749118306,5.647282465342551,1.0238683724930762e+16,7000.0,1694.453125,1844.453125,1994.453125,6976.843939098295
7200.0,-0.01375112617822866,5.647272871336834,1.0680646376089984e+16,7000.0,1694.375,1844.375,1994.375,6976.887269360544
7300.0,-0.013946204943412538,5.64726314116644,1.1135149175710624e+16,7000.0,1694.296875,1844.296875,1994.296875,6976.93059366559
7400.0,-0.01414128602318957,5.647253274828073,1.1602367628513266e+16,7000.0,1694.21875,1844.21875,1994.21875,6976.973912013287
7500.0,-0.014336369397209009,5.647243272318452,1.2082477242452494e+16,7000.0,1694.140625,1844.140625,1994.140625,6977.017224403491
7600.0,-0.014531455046175404,5.647233133634306,1.2575653528715992e+16,7000.0,1694.0625,1844.0625,1994.0625,6977.060530836059
7700.0,-0.014726542951780087,5.6472228587723805,1.3082072001723648e+16,7000.0,1693.984375,1843.984375,1993.984375,6977.10383131085
7800.0,-0.014921633096637908,5.647212447729434,1.3601908179126656e+16,7000.0,1693.90625,1843.90625,1993.90625,6977.1471258277215
7900.0,-0.015116725464228785,5.647201900502234,1.413533758180661e+16,7000.0,1693.828125,1843.828125,1993.828125,6977.190414386531
8000.0,-0.01531182003884364,5.64719121708756,1.468253573387461e+16,7000.0,1693.75,1843.75,1993.75,6977.23369698714
8100.0,-0.015506916805534336,5.647180397482203,1.524367816267036e+16,7000.0,1693.671875,1843.671875,1993.671875,6977.276973629405
8200.0,-0.015702015750067272,5.6471694416829665,1.5818940398761268e+16,7000.0,1693.59375,1843.59375,1993.59375,6977.320244313189
8300.0,-0.01589711685888034,5.647158349686658,1.6408497975941552e+16,7000.0,1693.515625,1843.515625,1993.515625,6977.3635090383505
8400.0,-0.01609222011904298,5.647147121490102,1.7012526431231332e+16,7000.0,1693.4375,1843.4375,1993.4375,6977.40676780475
8500.0,-0.016287325518218976,5.647135757090124,1.7631201304875736e+16,7000.0,1693.359375,1843.359375,1993.359375,6977.450020612251
8600.0,-0.016482433044631956,5.647124256483564,1.8264698140344e+16,7000.0,1693.28125,1843.28125,1993.28125,6977.493267460714
8700.0,-0.016677542687033173,5.647112619667268,1.891319248432856e+16,7000.0,1693.203125,1843.203125,1993.203125,6977.536508350001
8800.0,-0.016872654434671563,5.6471008466380885,1.957685988674417e+16,7000.0,1693.125,1843.125,1993.125,6977.579743279975
8900.0,-0.01706776827726576,5.647088937392886,2.025587590072698e+16,7000.0,1693.046875,1843.046875,1993.046875,6977.622972250498
9000.0,-0.017262884204978002,5.647076891928531,2.095041608263366e+16,7000.0,1692.96875,1842.96875,1992.96875,6977.666195261432
9100.0,-0.017458002208389778,5.6470647102418985,2.166065599204048e+16,7000.0,1692.890625,1842.890625,1992.890625,6977.709412312642
9200.0,-0.017653122278479018,5.647052392329869,2.2386771191742416e+16,7000.0,1692.8125,1842.8125,1992.8125,6977.752623403991
9300.0,-0.01784824440659878,5.647039938189333,2.3128937247752256e+16,7000.0,1692.734375,1842.734375,1992.734375,6977.7958285353425
9400.0,-0.018043368584457327,5.647027347817183,2.3887329729299696e+16,7000.0,1692.65625,1842.65625,1992.65625,6977.83902770656
9500.0,-0.018238494804099392,5.647014621210319,2.466212420883044e+16,7000.0,1692.578125,1842.578125,1992.578125,6977.88222091751
9600.0,-0.018433623057888666,5.647001758365649,2.54534962620053e+16,7000.0,1692.5,1842.5,1992.5,6977.925408168056
9700.0,-0.01862875333849138,5.646988759280084,2.6261621467699292e+16,7000.0,1692.421875,1842.421875,1992.421875,6977.9685894580625
9800.0,-0.018823885638860824,5.646975623950539,2.7086675408000744e+16,7000.0,1692.34375,1842.34375,1992.34375,6978.011764787395
9900.0,-0.019019019952222896,5.6469623523739365,2.792883366821039e+16,7000.0,1692.265625,1842.265625,1992.265625,6978.054934155918
10000.0,-0.01921415627206244,5.646948944547204,2.878827183684048e+16,7000.0,1692.1875,1842.1875,1992.1875,6978.098097563498
10100.0,-0.019409294592110434,5.646935400467272,2.9665165505613856e+16,7000.0,1692.109375,1842.109375,1992.109375,6978.141255010001
10200.0,-0.01960443490633193,5.6469217201310755,3.055969026946308e+16,7000.0,1692.03125,1842.03125,1992.03125,6978.184406495293
10300.0,-0.019799577208914686,5.646907903535556,3.147202172652951e+16,7000.0,1691.953125,1841.953125,1991.953125,6978.22755201924
10400.0,-0.019994721494258457,5.646893950677657,3.2402335478162428e+16,7000.0,1691.875,1841.875,1991.875,6978.270691581706
10500.0,-0.020189867756964904,5.646879861554327,3.3350807128918104e+16,7000.0,1691.796875,1841.796875,1991.796875,6978.313825182561
10600.0,-0.02038501599182807,5.646865636162519,3.4317612286558924e+16,7000.0,1691.71875,1841.71875,1991.71875,6978.3569528216685
10700.0,-0.020580166193825383,5.646851274499189,3.5302926562052476e+16,7000.0,1691.640625,1841.640625,1991.640625,6978.400074498898
10800.0,-0.020775318358109175,5.6468367765612975,3.630692556957066e+16,7000.0,1691.5625,1841.5625,1991.5625,6978.443190214116
10900.0,-0.02097047247999865,5.646822142345807,3.732978492648877e+16,7000.0,1691.484375,1841.484375,1991.484375,6978.486299967188
11000.0,-0.021165628554972307,5.646807371849684,3.8371680253384616e+16,7000.0,1691.40625,1841.40625,1991.40625,6978.5294037579815
11100.0,-0.021360786578660758,5.646792465069901,3.943278717403761e+16,7000.0,1691.328125,1841.328125,1991.328125,6978.572501586367
11200.0,-0.021555946546839934,5.6467774220034315,4.051328131542786e+16,7000.0,1691.25,1841.25,1991.25,6978.615593452209
11300.0,-0.021751108455424665,5.646762242647251,4.161333830773528e+16,7000.0,1691.171875,1841.171875,1991.171875,6978.658679355376
11400.0,-0.021946272300462578,5.646746926998339,4.273313378433869e+16,7000.0,1691.09375,1841.09375,1991.09375,6978.701759295735
11500.0,-0.022141438078128337,5.64673147505368,4.387284338181491e+16,7000.0,1691.015625,1841.015625,1991.015625,6978.744833273157
