Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max
11400.0,-0.0220171867766385,5.662712840674483,4.2871216359647304e+16,7000.0,1691.09375,1841.09375,1991.09375
11500.0,-0.0222128800100904,5.662697291658476,4.401440422717678e+16,7000.0,1691.015625,1841.015625,1991.015625
11600.0,-0.0224085733722284,5.662681605657115,4.517773598680109e+16,7000.0,1690.9375,1840.9375,1990.9375
11700.0,-0.022604266859753,5.662665782670313,4.636138756770881e+16,7000.0,1690.859375,1840.859375,1990.859375
11800.0,-0.0227999604694762,5.662649822697984,4.756553489908854e+16,7000.0,1690.78125,1840.78125,1990.78125
11900.0,-0.0229956541983174,5.662633725740045,4.8790353910128904e+16,7000.0,1690.703125,1840.703125,1990.703125
12000.0,-0.0231913480432987,5.662617491796415,5.003602053001849e+16,7000.0,1690.625,1840.625,1990.625
12100.0,-0.0233870420015406,5.662601120867014,5.1302710687945896e+16,7000.0,1690.546875,1840.546875,1990.546875
12200.0,-0.023582736070258,5.662584612951765,5.259060031309973e+16,7000.0,1690.46875,1840.46875,1990.46875
12300.0,-0.0237784302467564,5.662567968050593,5.3899865334668584e+16,7000.0,1690.390625,1840.390625,1990.390625
12400.0,-0.0239741245284281,5.662551186163423,5.5230681681841064e+16,7000.0,1690.3125,1840.3125,1990.3125
12500.0,-0.0241698189127491,5.662534267290184,5.658322528380577e+16,7000.0,1690.234375,1840.234375,1990.234375
12600.0,-0.0243655133972752,5.662517211430806,5.7957672069751304e+16,7000.0,1690.15625,1840.15625,1990.15625
12700.0,-0.0245612079796394,5.66250001858522,5.9354197968866264e+16,7000.0,1690.078125,1840.078125,1990.078125
12800.0,-0.0247569026575486,5.66248268875336,6.0772978910339256e+16,7000.0,1690.0,1840.0,1990.0
12900.0,-0.0249525974287809,5.66246522193516,6.221419082335888e+16,7000.0,1689.921875,1839.921875,1989.921875
13000.0,-0.0251482922911827,5.662447618130556,6.3678009637113736e+16,7000.0,1689.84375,1839.84375,1989.84375
13100.0,-0.025343987242666,5.662429877339486,6.5164611280792424e+16,7000.0,1689.765625,1839.765625,1989.765625
13200.0,-0.0255396822812064,5.66241199956189,6.667417168358355e+16,7000.0,1689.6875,1839.6875,1989.6875
13300.0,-0.0257353774048401,5.662393984797706,6.820686677467571e+16,7000.0,1689.609375,1839.609375,1989.609375
13400.0,-0.0259310726116621,5.6623758330468785,6.97628724832575e+16,7000.0,1689.53125,1839.53125,1989.53125
13500.0,-0.0261267678998237,5.662357544309349,7.134236473851754e+16,7000.0,1689.453125,1839.453125,1989.453125
13600.0,-0.0263224632675306,5.662339118585062,7.29455194696444e+16,7000.0,1689.375,1839.375,1989.375
13700.0,-0.0265181587130411,5.662320555873963,7.45725126058267e+16,7000.0,1689.296875,1839.296875,1989.296875
13800.0,-0.0267138542346637,5.662301856175999,7.622352007625306e+16,7000.0,1689.21875,1839.21875,1989.21875
13900.0,-0.0269095498307556,5.662283019491118,7.789871781011205e+16,7000.0,1689.140625,1839.140625,1989.140625
14000.0,-0.0271052454997213,5.662264045819267,7.959828173659229e+16,7000.0,1689.0625,1839.0625,1989.0625
14100.0,-0.02730094124001,5.662244935160399,8.132238778488237e+16,7000.0,1688.984375,1838.984375,1988.984375
14200.0,-0.0274966370501151,5.662225687514464,8.30712118841709e+16,7000.0,1688.90625,1838.90625,1988.90625
14300.0,-0.0276923329285718,5.6622063028814145,8.484492996364646e+16,7000.0,1688.828125,1838.828125,1988.828125
14400.0,-0.0278880288739561,5.662186781261203,8.664371795249768e+16,7000.0,1688.75,1838.75,1988.75
14500.0,-0.0280837248848834,5.662167122653784,8.846775177991314e+16,7000.0,1688.671875,1838.671875,1988.671875
14600.0,-0.0282794209600068,5.662147327059111,9.031720737508144e+16,7000.0,1688.59375,1838.59375,1988.59375
14700.0,-0.0284751170980162,5.662127394477143,9.21922606671912e+16,7000.0,1688.515625,1838.515625,1988.515625
14800.0,-0.028670813297637,5.662107324907835,9.4093087585431e+16,7000.0,1688.4375,1838.4375,1988.4375
14900.0,-0.0288665095576286,5.6620871183511445,9.601986405898947e+16,7000.0,1688.359375,1838.359375,1988.359375
15000.0,-0.0290622058767836,5.66206677480703,9.797276601705518e+16,7000.0,1688.28125,1838.28125,1988.28125
15100.0,-0.0292579022539265,5.662046294275453,9.995196938881677e+16,7000.0,1688.203125,1838.203125,1988.203125
15200.0,-0.0294535986879129,5.662025676756372,1.0195765010346278e+17,7000.0,1688.125,1838.125,1988.125
15300.0,-0.0296492951776282,5.662004922249747,1.0398998409018189e+17,7000.0,1688.046875,1838.046875,1988.046875
15400.0,-0.0298449917219868,5.661984030755542,1.060491472781626e+17,7000.0,1687.96875,1837.96875,1987.96875
15500.0,-0.030040688319931,5.661963002273718,1.081353155965936e+17,7000.0,1687.890625,1837.890625,1987.890625
15600.0,-0.0302363849704304,5.661941836804238,1.1024866497466346e+17,7000.0,1687.8125,1837.8125,1987.8125
15700.0,-0.0304320816724807,5.661920534347068,1.1238937134156077e+17,7000.0,1687.734375,1837.734375,1987.734375
15800.0,-0.0306277784251032,5.661899094902171,1.1455761062647414e+17,7000.0,1687.65625,1837.65625,1987.65625
15900.0,-0.0308234752273435,5.661877518469511,1.1675355875859218e+17,7000.0,1687.578125,1837.578125,1987.578125
16000.0,-0.0310191720782714,5.661855805049056,1.1897739166710349e+17,7000.0,1687.5,1837.5,1987.5
16100.0,-0.0312148689769796,5.661833954640771,1.2122928528119664e+17,7000.0,1687.421875,1837.421875,1987.421875
16200.0,-0.0314105659225835,5.661811967244626,1.2350941553006029e+17,7000.0,1687.34375,1837.34375,1987.34375
16300.0,-0.0316062629142197,5.661789842860586,1.2581795834288296e+17,7000.0,1687.265625,1837.265625,1987.265625
16400.0,-0.0318019599510463,5.661767581488621,1.2815508964885331e+17,7000.0,1687.1875,1837.1875,1987.1875
16500.0,-0.0319976570322416,5.661745183128699,1.3052098537715997e+17,7000.0,1687.109375,1837.109375,1987.109375
16600.0,-0.0321933541570038,5.661722647780788,1.3291582145699146e+17,7000.0,1687.03125,1837.03125,1987.03125
16700.0,-0.0323890513245503,5.661699975444861,1.3533977381753645e+17,7000.0,1686.953125,1836.953125,1986.953125
16800.0,-0.0325847485341169,5.661677166120888,1.3779301838798349e+17,7000.0,1686.875,1836.875,1986.875
16900.0,-0.032780445784958,5.661654219808838,1.4027573109752118e+17,7000.0,1686.796875,1836.796875,1986.796875
17000.0,-0.0329761430763449,5.661631136508684,1.4278808787533818e+17,7000.0,1686.71875,1836.71875,1986.71875
17100.0,-0.0331718404075665,5.661607916220399,1.4533026465062304e+17,7000.0,1686.640625,1836.640625,1986.640625
17200.0,-0.0333675377779279,5.661584558943955,1.4790243735256438e+17,7000.0,1686.5625,1836.5625,1986.5625
17300.0,-0.0335632351867504,5.661561064679324,1.505047819103508e+17,7000.0,1686.484375,1836.484375,1986.484375
17400.0,-0.0337589326333709,5.661537433426481,1.5313747425317088e+17,7000.0,1686.40625,1836.40625,1986.40625
17500.0,-0.0339546301171414,5.6615136651853994,1.5580069031021325e+17,7000.0,1686.328125,1836.328125,1986.328125
17600.0,-0.0341503276374286,5.661489759956053,1.584946060106665e+17,7000.0,1686.25,1836.25,1986.25
17700.0,-0.0343460251936138,5.661465717738418,1.6121939728371923e+17,7000.0,1686.171875,1836.171875,1986.171875
17800.0,-0.0345417227850917,5.6614415385324675,1.6397524005856003e+17,7000.0,1686.09375,1836.09375,1986.09375
17900.0,-0.034737420411271,5.66141722233818,1.6676231026437754e+17,7000.0,1686.015625,1836.015625,1986.015625
18000.0,-0.0349331180715732,5.661392769155529,1.6958078383036032e+17,7000.0,1685.9375,1835.9375,1985.9375
18100.0,-0.0351288157654329,5.661368178984493,1.72430836685697e+17,7000.0,1685.859375,1835.859375,1985.859375
18200.0,-0.0353245134922967,5.661343451825048,1.7531264475957613e+17,7000.0,1685.78125,1835.78125,1985.78125
18300.0,-0.0355202112516238,5.661318587677172,1.7822638398118637e+17,7000.0,1685.703125,1835.703125,1985.703125
18400.0,-0.0357159090428848,5.661293586540843,1.811722302797163e+17,7000.0,1685.625,1835.625,1985.625
18500.0,-0.0359116068655619,5.661268448416037,1.841503595843545e+17,7000.0,1685.546875,1835.546875,1985.546875
18600.0,-0.0361073047191483,5.661243173302735,1.871609478242896e+17,7000.0,1685.46875,1835.46875,1985.46875
18700.0,-0.0363030026031482,5.661217761200913,1.9020417092871014e+17,7000.0,1685.390625,1835.390625,1985.390625
18800.0,-0.0364987005170762,5.661192212110551,1.9328020482680486e+17,7000.0,1685.3125,1835.3125,1985.3125
18900.0,-0.0366943984604574,5.661166526031629,1.9638922544776224e+17,7000.0,1685.234375,1835.234375,1985.234375
19000.0,-0.0368900964328266,5.661140702964126,1.995314087207709e+17,7000.0,1685.15625,1835.15625,1985.15625
19100.0,-0.0370857944337285,5.661114742908022,2.027069305750195e+17,7000.0,1685.078125,1835.078125,1985.078125
