Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
8800.0,-0.016872844352141817,5.648895773437044,1.9577080242570196e+16,7000.0,1693.125,1843.125,1993.125,6977.658271327429
8900.0,-0.01706796039001227,5.648883863923762,2.025610389842938e+16,7000.0,1693.046875,1843.046875,1993.046875,6977.701500286224
9000.0,-0.017263078513003297,5.648871818188262,2.0950651896877084e+16,7000.0,1692.96875,1842.96875,1992.96875,6977.744723285296
9100.0,-0.017458198711696273,5.648859636227419,2.166089979946314e+16,7000.0,1692.890625,1842.890625,1992.890625,6977.787940324509
9200.0,-0.01765332097706902,5.648847318038115,2.2387023170956084e+16,7000.0,1692.8125,1842.8125,1992.8125,6977.831151403726
9300.0,-0.017848445300474507,5.648834863617238,2.3129197579342256e+16,7000.0,1692.734375,1842.734375,1992.734375,6977.874356522812
9400.0,-0.018043571673620886,5.6488222729616835,2.3887598595824904e+16,7000.0,1692.65625,1842.65625,1992.65625,6977.917555681632
9500.0,-0.0182387000885528,5.6488095460683505,2.4662401794823284e+16,7000.0,1692.578125,1842.578125,1992.578125,6977.960748880048
9600.0,-0.018433830537633863,5.648796682934146,2.5453782753971756e+16,7000.0,1692.5,1842.5,1992.5,6978.003936117928
9700.0,-0.018628963013530203,5.648783683555981,2.626191705411889e+16,7000.0,1692.421875,1842.421875,1992.421875,6978.047117395133
9800.0,-0.018824097509195042,5.648770547930771,2.708698027932655e+16,7000.0,1692.34375,1842.34375,1992.34375,6978.09029271153
9900.0,-0.019019234017854193,5.648757276055439,2.7929148016869028e+16,7000.0,1692.265625,1842.265625,1992.265625,6978.133462066984
10000.0,-0.019214372532992418,5.64874386792691,2.87885958572321e+16,7000.0,1692.1875,1842.1875,1992.1875,6978.176625461361
10100.0,-0.019409513048340626,5.648730323542117,2.9665499394112156e+16,7000.0,1692.109375,1842.109375,1992.109375,6978.219782894526
10200.0,-0.0196046555578638,5.648716642897995,3.0560034224415292e+16,7000.0,1692.03125,1842.03125,1992.03125,6978.262934366346
10300.0,-0.01979980005574962,5.648702825991483,3.1472375948256412e+16,7000.0,1691.953125,1841.953125,1991.953125,6978.306079876686
10400.0,-0.019994946536397787,5.648688872819529,3.2402700168958316e+16,7000.0,1691.875,1841.875,1991.875,6978.349219425413
10500.0,-0.02019009499440989,5.648674783379077,3.3351182493050816e+16,7000.0,1691.796875,1841.796875,1991.796875,6978.392353012393
10600.0,-0.02038524542457991,5.648660557667082,3.4317998530269824e+16,7000.0,1691.71875,1841.71875,1991.71875,6978.435480637494
10700.0,-0.020580397821885216,5.648646195680499,3.530332389355646e+16,7000.0,1691.640625,1841.640625,1991.640625,6978.47860230058
10800.0,-0.020775552181478085,5.648631697416289,3.630733419905614e+16,7000.0,1691.5625,1841.5625,1991.5625,6978.521718001522
10900.0,-0.020970708498677663,5.648617062871415,3.73302050661177e+16,7000.0,1691.484375,1841.484375,1991.484375,6978.564827740182
11000.0,-0.021165866768962392,5.648602292042844,3.837211211729245e+16,7000.0,1691.40625,1841.40625,1991.40625,6978.6079315164325
11100.0,-0.021361026987962835,5.648587384927547,3.943323097833333e+16,7000.0,1691.328125,1841.328125,1991.328125,6978.65102933014
11200.0,-0.021556189151454873,5.648572341522496,4.051373727819396e+16,7000.0,1691.25,1841.25,1991.25,6978.694121181168
11300.0,-0.021751353255353285,5.6485571618246695,4.161380664902778e+16,7000.0,1691.171875,1841.171875,1991.171875,6978.737207069388
11400.0,-0.021946519295705645,5.648541845831047,4.27336147261871e+16,7000.0,1691.09375,1841.09375,1991.09375,6978.780286994667
11500.0,-0.022141687268686573,5.64852639353861,4.387333714822228e+16,7000.0,1691.015625,1841.015625,1991.015625,6978.823360956872
11600.0,-0.022336857170592226,5.648510804944347,4.503314955688073e+16,7000.0,1690.9375,1840.9375,1990.9375,6978.866428955874
11700.0,-0.022532028997835126,5.648495080045244,4.621322759710607e+16,7000.0,1690.859375,1840.859375,1990.859375,6978.9094909915375
11800.0,-0.022727202746939214,5.648479218838294,4.741374691703724e+16,7000.0,1690.78125,1840.78125,1990.78125,6978.9525470637345
11900.0,-0.022922378414535188,5.648463221320491,4.863488316800755e+16,7000.0,1690.703125,1840.703125,1990.703125,6978.99559717233
12000.0,-0.02311755599735603,5.64844708748883,4.987681200454382e+16,7000.0,1690.625,1840.625,1990.625,6979.038641317195
12100.0,-0.0233127354922328,5.648430817340313,5.113970908436547e+16,7000.0,1690.546875,1840.546875,1990.546875,6979.081679498197
12200.0,-0.02350791689609061,5.64841441087194,5.24237500683836e+16,7000.0,1690.46875,1840.46875,1990.46875,6979.124711715206
12300.0,-0.023703100205944787,5.648397868080715,5.3729110620700104e+16,7000.0,1690.390625,1840.390625,1990.390625,6979.16773796809
12400.0,-0.023898285418897255,5.648381188963645,5.5055966408606776e+16,7000.0,1690.3125,1840.3125,1990.3125,6979.210758256718
12500.0,-0.024093472532133058,5.6483643735177385,5.64044931025844e+16,7000.0,1690.234375,1840.234375,1990.234375,6979.253772580959
12600.0,-0.02428866154291707,5.648347421740007,5.777486637630185e+16,7000.0,1690.15625,1840.15625,1990.15625,6979.296780940685
12700.0,-0.024483852448590842,5.648330333627462,5.916726190661518e+16,7000.0,1690.078125,1840.078125,1990.078125,6979.33978333576
12800.0,-0.024679045246569616,5.6483131091771215,6.058185537356676e+16,7000.0,1690.0,1840.0,1990.0,6979.382779766058
