Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max,rho_new
455000.0,-0.6264079693963778,4.7329250504834794,1.9430069050579857e+21,3400.0,1522.3646914347746,1664.7268589523374,1807.0890264699003,3407.8228667478443
455100.0,-0.6264177545478982,4.732712068446933,1.9438914330359743e+21,3400.0,1522.29113763163,1664.6459397450844,1807.0007418585392,3407.824398202687
455200.0,-0.6264275958901735,4.73249908306433,1.9447763498601957e+21,3400.0,1522.2175838284852,1664.5650205378313,1806.912457247178,3407.825929562725
455300.0,-0.6264374933738435,4.732286094316582,1.9456616556161008e+21,3400.0,1522.1440300253405,1664.4841013305784,1806.824172635817,3407.8274608274173
455400.0,-0.6264474469496015,4.73207310218462,1.946547350389141e+21,3400.0,1522.0704762221958,1664.4031821233252,1806.7358880244556,3407.8289919962226
455500.0,-0.6264574565681956,4.731860106649386,1.9474334342647676e+21,3400.0,1521.996922419051,1664.3222629160723,1806.6476034130944,3407.8305230686024
455600.0,-0.6264675221804277,4.731647107691845,1.948319907328432e+21,3400.0,1521.9233686159064,1664.2413437088194,1806.559318801733,3407.8320540440172
455700.0,-0.6264776437371533,4.7314341052929745,1.9492067696655857e+21,3400.0,1521.8498148127617,1664.1604245015665,1806.471034190372,3407.8335849219275
455800.0,-0.6264878211892824,4.73122109943377,1.9500940213616792e+21,3400.0,1521.776261009617,1664.0795052943135,1806.3827495790104,3407.8351157017946
455900.0,-0.6264980544877784,4.731008090095244,1.950981662502165e+21,3400.0,1521.702707206472,1663.9985860870606,1806.2944649676497,3407.836646383081
456000.0,-0.6265083435836589,4.730795077258426,1.9518696931724933e+21,3400.0,1521.6291534033276,1663.9176668798077,1806.2061803562883,3407.8381769652497
456100.0,-0.6265186884279949,4.73058206090436,1.9527581134581164e+21,3400.0,1521.5555996001826,1663.8367476725546,1806.117895744927,3407.839707447763
456200.0,-0.6265290889719106,4.73036904101411,1.9536469234444848e+21,3400.0,1521.4820457970382,1663.7558284653014,1806.0296111335656,3407.841237830083
456300.0,-0.6265395451665846,4.730156017568754,1.9545361232170503e+21,3400.0,1521.4084919938932,1663.6749092580485,1805.9413265222045,3407.842768111677
456400.0,-0.6265500569632485,4.729942990549386,1.955425712861264e+21,3400.0,1521.3349381907483,1663.5939900507956,1805.853041910843,3407.844298292006
456500.0,-0.6265606243131874,4.72972995993712,1.9563156924625775e+21,3400.0,1521.2613843876038,1663.513070843543,1805.764757299482,3407.8458283705368
456600.0,-0.6265712471677396,4.7295169257130825,1.9572060621064425e+21,3400.0,1521.187830584459,1663.4321516362895,1805.6764726881208,3407.8473583467335
456700.0,-0.6265819254782968,4.7293038878584195,1.958096821878309e+21,3400.0,1521.1142767813144,1663.3512324290366,1805.5881880767597,3407.8488882200627
456800.0,-0.626592659196304,4.729090846354293,1.9589879718636293e+21,3400.0,1521.0407229781697,1663.2703132217837,1805.4999034653983,3407.850417989991
456900.0,-0.6266034482732594,4.72887780118188,1.9598795121478544e+21,3400.0,1520.967169175025,1663.1893940145303,1805.411618854037,3407.8519476559845
