Radius,Gravity,Pressure,Mass,Density
13600.0,-0.026322463267530686,5.6432910165381145,7.29455194696444e+16,7000.0
13700.0,-0.026518158713041137,5.643272453827016,7.45725126058267e+16,7000.0
13800.0,-0.02671385423466371,5.643253754129051,7.622352007625306e+16,7000.0
13900.0,-0.026909549830755698,5.64323491744417,7.789871781011205e+16,7000.0
14000.0,-0.02710524549972132,5.6432159437723195,7.959828173659229e+16,7000.0
14100.0,-0.02730094124001008,5.643196833113452,8.132238778488237e+16,7000.0
14200.0,-0.027496637050115146,5.643177585467517,8.30712118841709e+16,7000.0
14300.0,-0.027692332928571838,5.643158200834467,8.484492996364646e+16,7000.0
14400.0,-0.027888028873956174,5.643138679214255,8.664371795249768e+16,7000.0
14500.0,-0.028083724884883435,5.643119020606837,8.846775177991314e+16,7000.0
14600.0,-0.02827942096000685,5.643099225012164,9.031720737508144e+16,7000.0
14700.0,-0.028475117098016298,5.643079292430196,9.21922606671912e+16,7000.0
14800.0,-0.02867081329763706,5.643059222860887,9.4093087585431e+16,7000.0
14900.0,-0.02886650955762864,5.643039016304197,9.601986405898947e+16,7000.0
15000.0,-0.029062205876783615,5.643018672760083,9.797276601705518e+16,7000.0
15100.0,-0.029257902253926563,5.6429981922285055,9.995196938881675e+16,7000.0
15200.0,-0.029453598687912984,5.642977574709424,1.0195765010346278e+17,7000.0
15300.0,-0.029649295177628297,5.6429568202028,1.0398998409018187e+17,7000.0
15400.0,-0.02984499172198687,5.642935928708594,1.0604914727816261e+17,7000.0
15500.0,-0.030040688319931095,5.642914900226771,1.081353155965936e+17,7000.0
15600.0,-0.030236384970430484,5.6428937347572905,1.1024866497466346e+17,7000.0
15700.0,-0.03043208167248079,5.642872432300121,1.1238937134156077e+17,7000.0
15800.0,-0.0306277784251032,5.642850992855223,1.1455761062647414e+17,7000.0
15900.0,-0.030823475227343525,5.642829416422564,1.1675355875859218e+17,7000.0
16000.0,-0.03101917207827143,5.642807703002108,1.1897739166710347e+17,7000.0
16100.0,-0.031214868976979695,5.642785852593825,1.2122928528119664e+17,7000.0
16200.0,-0.0314105659225835,5.642763865197678,1.2350941553006027e+17,7000.0
16300.0,-0.03160626291421972,5.642741740813639,1.2581795834288296e+17,7000.0
16400.0,-0.031801959951046316,5.6427194794416735,1.2815508964885333e+17,7000.0
16500.0,-0.03199765703224164,5.642697081081751,1.3052098537715995e+17,7000.0
16600.0,-0.03219335415700385,5.642674545733841,1.3291582145699146e+17,7000.0
16700.0,-0.032389051324550305,5.642651873397914,1.3533977381753643e+17,7000.0
16800.0,-0.03258474853411699,5.64262906407394,1.3779301838798347e+17,7000.0
16900.0,-0.03278044578495801,5.642606117761891,1.4027573109752118e+17,7000.0
17000.0,-0.032976143076344964,5.642583034461737,1.4278808787533818e+17,7000.0
17100.0,-0.033171840407566544,5.642559814173452,1.4533026465062304e+17,7000.0
17200.0,-0.03336753777792795,5.642536456897007,1.4790243735256438e+17,7000.0
17300.0,-0.033563235186750445,5.6425129626323764,1.505047819103508e+17,7000.0
17400.0,-0.03375893263337093,5.642489331379534,1.5313747425317088e+17,7000.0
17500.0,-0.03395463011714143,5.642465563138452,1.5580069031021325e+17,7000.0
17600.0,-0.034150327637428694,5.642441657909106,1.584946060106665e+17,7000.0
17700.0,-0.034346025193613815,5.64241761569147,1.6121939728371923e+17,7000.0
17800.0,-0.03454172278509175,5.64239343648552,1.6397524005856003e+17,7000.0
17900.0,-0.03473742041127103,5.6423691202912325,1.6676231026437754e+17,7000.0
18000.0,-0.03493311807157326,5.642344667108581,1.6958078383036032e+17,7000.0
18100.0,-0.035128815765432905,5.642320076937546,1.72430836685697e+17,7000.0
18200.0,-0.03532451349229679,5.6422953497781005,1.7531264475957613e+17,7000.0
18300.0,-0.03552021125162388,5.642270485630225,1.7822638398118637e+17,7000.0
18400.0,-0.03571590904288487,5.642245484493896,1.811722302797163e+17,7000.0
18500.0,-0.03591160686556193,5.64222034636909,1.841503595843545e+17,7000.0
18600.0,-0.03610730471914834,5.642195071255787,1.871609478242896e+17,7000.0
18700.0,-0.03630300260314822,5.642169659153965,1.9020417092871018e+17,7000.0
18800.0,-0.036498700517076266,5.642144110063604,1.9328020482680486e+17,7000.0
18900.0,-0.03669439846045742,5.642118423984681,1.9638922544776224e+17,7000.0
19000.0,-0.036890096432826626,5.642092600917178,1.995314087207709e+17,7000.0
19100.0,-0.03708579443372858,5.642066640861074,2.027069305750195e+17,7000.0
19200.0,-0.03728149246271746,5.642040543816351,2.0591596693969654e+17,7000.0
19300.0,-0.037477190519356676,5.642014309782987,2.091586937439907e+17,7000.0
19400.0,-0.03767288860321865,5.641987938760965,2.1243528691709053e+17,7000.0
19500.0,-0.03786858671388457,5.641961430750266,2.1574592238818467e+17,7000.0
19600.0,-0.03806428485094417,5.641934785750871,2.1909077608646173e+17,7000.0
19700.0,-0.038259983013995524,5.641908003762761,2.2247002394111027e+17,7000.0
19800.0,-0.038455681202644795,5.641881084785919,2.258838418813189e+17,7000.0
19900.0,-0.038651379416506114,5.641854028820328,2.2933240583627626e+17,7000.0
20000.0,-0.038847077655201276,5.6418268358659684,2.328158917351709e+17,7000.0
20100.0,-0.03904277591835965,5.641799505922826,2.363344755071915e+17,7000.0
20200.0,-0.03923847420561789,5.641772038990882,2.3988833308152656e+17,7000.0
20300.0,-0.039434172516619875,5.64174443507012,2.4347764038736474e+17,7000.0
20400.0,-0.03962987085101641,5.641716694160524,2.4710257335389462e+17,7000.0
20500.0,-0.03982556920846513,5.641688816262079,2.5076330791030483e+17,7000.0
20600.0,-0.040021267588630345,5.641660801374766,2.5446001998578394e+17,7000.0
20700.0,-0.040216965991182824,5.641632649498573,2.5819288550952054e+17,7000.0
20800.0,-0.040412664415799666,5.641604360633481,2.6196208041070326e+17,7000.0
20900.0,-0.040608362862164155,5.641575934779477,2.657677806185207e+17,7000.0
21000.0,-0.04080406132996563,5.6415473719365465,2.6961016206216147e+17,7000.0
21100.0,-0.04099975981889928,5.641518672104674,2.7348940067081414e+17,7000.0
21200.0,-0.04119545832866607,5.641489835283843,2.7740567237366733e+17,7000.0
21300.0,-0.04139115685897257,5.641460861474042,2.8135915309990963e+17,7000.0
21400.0,-0.04158685540953086,5.641431750675255,2.8535001877872966e+17,7000.0
21500.0,-0.04178255398005834,5.641402502887468,2.8937844533931603e+17,7000.0
21600.0,-0.041978252570277666,5.641373118110669,2.934446087108573e+17,7000.0
21700.0,-0.04217395117991659,5.641343596344843,2.975486848225421e+17,7000.0
21800.0,-0.04236964980870788,5.6413139375899775,3.01690849603559e+17,7000.0
21900.0,-0.042565348456389186,5.641284141846058,3.0587127898309664e+17,7000.0
22000.0,-0.04276104712270289,5.641254209113073,3.100901488903436e+17,7000.0
22100.0,-0.04295674580739609,5.641224139391007,3.143476352544885e+17,7000.0
22200.0,-0.0431524445102204,5.64119393267985,3.1864391400471994e+17,7000.0
22300.0,-0.043348143230931904,5.641163588979588,3.229791610702265e+17,7000.0
22400.0,-0.043543841969291036,5.64113310829021,3.2735355238019674e+17,7000.0
22500.0,-0.0437395407250625,5.6411024906117015,3.317672638638193e+17,7000.0
22600.0,-0.04393523949801517,5.641071735944053,3.362204714502829e+17,7000.0
22700.0,-0.044130938287921966,5.641040844287253,3.4071335106877594e+17,7000.0
22800.0,-0.04432663709455981,5.641009815641286,3.452460786484871e+17,7000.0
22900.0,-0.04452233591770953,5.640978650006144,3.4981883011860506e+17,7000.0
23000.0,-0.044718034757155745,5.640947347381814,3.5443178140831834e+17,7000.0
23100.0,-0.04491373361268681,5.640915907768285,3.5908510844681555e+17,7000.0
23200.0,-0.045109432484094734,5.640884331165545,3.637789871632853e+17,7000.0
