,Radius,Mass,Gravity,Pressure,Density
844,844000.0,8.927756401631719e+21,-0.8364946394876936,3.7051912087951773,3380
845,845000.0,8.95801239787319e+21,-0.83734410065649,3.7023609857349586,3380
846,846000.0,8.988340133262553e+21,-0.8381939002542105,3.6995278903520994,3380
847,847000.0,9.018739692748471e+21,-0.839044036683553,3.696691921508109,3380
848,848000.0,9.04921116127961e+21,-0.8398945083566284,3.6938530780698637,3380
849,849000.0,9.079754623804636e+21,-0.8407453136948932,3.691011358909575,3380
850,850000.0,9.110370165272215e+21,-0.8415964511290842,3.6881667629047583,3380
851,851000.0,9.14105787063101e+21,-0.8424479190991527,3.6853192889382034,3380
852,852000.0,9.171817824829689e+21,-0.8432997160541997,3.68246893589794,3380
853,853000.0,9.202650112816915e+21,-0.8441518404524123,3.6796157026772107,3380
854,854000.0,9.233554819541355e+21,-0.8450042907609987,3.6767595881744386,3380
855,855000.0,9.264532029951675e+21,-0.845857065456126,3.673900591293197,3380
856,856000.0,9.295581828996538e+21,-0.8467101630228565,3.671038710942179,3380
857,857000.0,9.326704301624611e+21,-0.8475635819550864,3.668173946035171,3380
858,858000.0,9.357899532784558e+21,-0.8484173207554835,3.665306295491017,3380
859,859000.0,9.389167607425046e+21,-0.8492713779354257,3.6624357582335954,3380
860,860000.0,9.42050861049474e+21,-0.850125752014941,3.659562333191785,3380
861,861000.0,9.451922626942303e+21,-0.850980441522647,3.6566860192994386,3380
862,862000.0,9.483409741716405e+21,-0.8518354449956906,3.6538068154953534,3380
863,863000.0,9.514970039765707e+21,-0.8526907609796897,3.650924720723242,3380
864,864000.0,9.546603606038876e+21,-0.8535463880286736,3.648039733931705,3380
865,865000.0,9.578310525484578e+21,-0.8544023247050248,3.6451518540742023,3380
866,866000.0,9.610090883051478e+21,-0.8552585695794217,3.6422610801090234,3380
867,867000.0,9.64194476368824e+21,-0.8561151212307805,3.639367410999264,3380
868,868000.0,9.673872252343532e+21,-0.8569719782461991,3.6364708457127914,3380
869,869000.0,9.705873433966018e+21,-0.8578291392208998,3.6335713832222245,3380
870,870000.0,9.737948393504361e+21,-0.8586866027581734,3.630669022504902,3380
871,871000.0,9.77009721590723e+21,-0.8595443674693249,3.627763762542856,3380
872,872000.0,9.80231998612329e+21,-0.8604024319736169,3.6248556023227847,3380
873,873000.0,9.834616789101204e+21,-0.8612607948982148,3.621944540836029,3380
874,874000.0,9.866987709789639e+21,-0.8621194548781344,3.619030577078541,3380
875,875000.0,9.899432833137259e+21,-0.8629784105561861,3.6161137100508607,3380
876,876000.0,9.931952244092731e+21,-0.863837660582923,3.6131939387580907,3380
877,877000.0,9.964546027604719e+21,-0.8646972036165866,3.6102712622098667,3380
878,878000.0,9.997214268621888e+21,-0.8655570383230559,3.6073456794203347,3380
879,879000.0,1.0029957052092905e+22,-0.8664171633757938,3.6044171894081245,3380
880,880000.0,1.0062774462966435e+22,-0.8672775774557964,3.601485791196324,3380
881,881000.0,1.0095666586191143e+22,-0.8681382792515411,3.5985514838124537,3380
882,882000.0,1.0128633506715694e+22,-0.8689992674589362,3.5956142662884427,3380
883,883000.0,1.0161675309488754e+22,-0.8698605407812702,3.592674137660602,3380
884,884000.0,1.0194792079458988e+22,-0.870722097929162,3.5897310969696017,3380
885,885000.0,1.022798390157506e+22,-0.8715839376205103,3.5867851432604443,3380
886,886000.0,1.0261250860785638e+22,-0.872446058580446,3.5838362755824424,3380
887,887000.0,1.0294593042039387e+22,-0.8733084595412818,3.5808844929891928,3380
888,888000.0,1.0328010530284972e+22,-0.8741711392424644,3.5779297945385533,3380
889,889000.0,1.0361503410471056e+22,-0.8750340964305258,3.5749721792926183,3380
890,890000.0,1.0395071767546306e+22,-0.8758973298590368,3.5720116463176947,3380
891,891000.0,1.042871568645939e+22,-0.8767608382885582,3.5690481946842794,3380
892,892000.0,1.0462435252158968e+22,-0.8776246204865947,3.5660818234670346,3380
893,893000.0,1.049623054959371e+22,-0.878488675227548,3.563112531744766,3380
894,894000.0,1.053010166371228e+22,-0.8793530012926702,3.560140318600397,3380
