,Radius,Mass,Gravity,Pressure,Density
941,941000.0,1.195389079635115e+22,-0.9010227587275895,3.2777610721428356,3308
942,942000.0,1.1990699846589806e+22,-0.9018793638923186,3.27477765520708,3308
943,943000.0,1.2027587172298629e+22,-0.9027361859734757,3.2717914039038796,3308
944,944000.0,1.2064552856616727e+22,-0.9035932240524119,3.2688023175187144,3308
945,945000.0,1.210159698268321e+22,-0.904450477215336,3.265810395340086,3308
946,946000.0,1.2138719633637183e+22,-0.9053079445532837,3.262815636659504,3308
947,947000.0,1.2175920892617756e+22,-0.9061656251620879,3.2598180407714676,3308
948,948000.0,1.2213200842764038e+22,-0.9070235181423473,3.2568176069734527,3308
949,949000.0,1.2250559567215133e+22,-0.907881622599397,3.253814334565894,3308
950,950000.0,1.2287997149110153e+22,-0.9087399376432785,3.2508082228521693,3308
951,951000.0,1.2325513671588203e+22,-0.9095984623887097,3.2477992711385877,3308
952,952000.0,1.2363109217788393e+22,-0.9104571959550556,3.2447874787343682,3308
953,953000.0,1.2400783870849832e+22,-0.9113161374662994,3.2417728449516297,3308
954,954000.0,1.2438537713911624e+22,-0.9121752860510127,3.2387553691053728,3308
955,955000.0,1.2476370830112881e+22,-0.9130346408423278,3.2357350505134663,3308
956,956000.0,1.2514283302592709e+22,-0.9138942009779077,3.2327118884966315,3308
957,957000.0,1.2552275214490216e+22,-0.9147539655999193,3.229685882378427,3308
958,958000.0,1.259034664894451e+22,-0.9156139338550033,3.2266570314852348,3308
959,959000.0,1.26284976890947e+22,-0.9164741048942486,3.2236253351462447,3308
960,960000.0,1.2666728418079893e+22,-0.9173344778731621,3.22059079269344,3308
961,961000.0,1.2705038919039197e+22,-0.9181950519516427,3.2175534034615842,3308
962,962000.0,1.274342927511172e+22,-0.9190558262939534,3.214513166788204,3308
963,963000.0,1.278189956943657e+22,-0.9199168000686943,3.2114700820135766,3308
964,964000.0,1.2820449885152856e+22,-0.9207779724487751,3.2084241484807157,3308
965,965000.0,1.2859080305399684e+22,-0.9216393426113894,3.2053753655353576,3308
966,966000.0,1.2897790913316164e+22,-0.9225009097379867,3.202323732525944,3308
967,967000.0,1.2936581792041403e+22,-0.9233626730142471,3.199269248803613,3308
968,968000.0,1.2975453024714509e+22,-0.9242246316300547,3.196211913722181,3308
969,969000.0,1.301440469447459e+22,-0.9250867847794717,3.1931517266381304,3308
970,970000.0,1.3053436884460755e+22,-0.9259491316607121,3.190088686910596,3308
971,971000.0,1.309254967781211e+22,-0.9268116714761169,3.1870227939013533,3308
972,972000.0,1.3131743157667764e+22,-0.9276744034321278,3.1839540469748,3308
973,973000.0,1.3171017407166826e+22,-0.9285373267392627,3.1808824454979465,3308
974,974000.0,1.3210372509448402e+22,-0.9294004406120895,3.177807988840402,3308
975,975000.0,1.32498085476516e+22,-0.9302637442692026,3.1747306763743595,3308
976,976000.0,1.3289325604915531e+22,-0.9311272369331971,3.1716505074745847,3308
977,977000.0,1.33289237643793e+22,-0.9319909178306448,3.1685674815184006,3308
978,978000.0,1.3368603109182017e+22,-0.9328547861920693,3.165481597885677,3308
979,979000.0,1.3408363722462787e+22,-0.9337188412519224,3.162392855958816,3308
980,980000.0,1.3448205687360722e+22,-0.9345830822485596,3.1593012551227377,3308
981,981000.0,1.3488129087014928e+22,-0.9354475084242163,3.1562067947648704,3308
982,982000.0,1.3528134004564512e+22,-0.9363121190249846,3.153109474275136,3308
983,983000.0,1.3568220523148582e+22,-0.9371769133007887,3.150009293045937,3308
984,984000.0,1.3608388725906248e+22,-0.9380418905053629,3.1469062504721457,3308
985,985000.0,1.3648638695976615e+22,-0.9389070498962273,3.143800345951089,3308
986,986000.0,1.3688970516498796e+22,-0.9397723907346657,3.1406915788825387,3308
987,987000.0,1.3729384270611895e+22,-0.9406379122857016,3.137579948668698,3308
988,988000.0,1.376988004145502e+22,-0.9415036138180765,3.1344654547141877,3308
989,989000.0,1.381045791216728e+22,-0.9423694946042266,3.131348096426037,3308
990,990000.0,1.3851117965887784e+22,-0.9432355539202615,3.128227873213669,3308
991,991000.0,1.3891860285755637e+22,-0.9441017910459406,3.125104784488889,3308
992,992000.0,1.393268495490995e+22,-0.9449682052646522,3.1219788296658733,3308
993,993000.0,1.3973592056489828e+22,-0.9458347958633907,3.118850008161157,3308
994,994000.0,1.4014581673634382e+22,-0.9467015621327355,3.115718319393622,3308
995,995000.0,1.4055653889482718e+22,-0.9475685033668291,3.1125837627844843,3308
996,996000.0,1.4096808787173945e+22,-0.9484356188633555,3.1094463377572845,3308
997,997000.0,1.413804644984717e+22,-0.9493029079235195,3.1063060437378733,3308
998,998000.0,1.4179366960641503e+22,-0.9501703698520244,3.1031628801544033,3308
999,999000.0,1.422077040269605e+22,-0.9510380039570525,3.1000168464373132,3308
1000,1000000.0,1.426225685914992e+22,-0.9519058095502431,3.096867942019321,3308
1001,1001000.0,1.430382641314222e+22,-0.9527737859466718,3.093716166335409,3308
1002,1002000.0,1.434547914781206e+22,-0.953641932464831,3.0905615188228155,3308
1003,1003000.0,1.4387215146298546e+22,-0.9545102484266084,3.0874039989210202,3308
1004,1004000.0,1.4429034491740785e+22,-0.9553787331572665,3.0842436060717358,3308
1005,1005000.0,1.4470937267277887e+22,-0.956247385985424,3.0810803397188957,3308
1006,1006000.0,1.451292355604896e+22,-0.9571162062430344,3.0779141993086436,3308
1007,1007000.0,1.455499344119311e+22,-0.9579851932653665,3.074745184289322,3308
1008,1008000.0,1.4597147005849449e+22,-0.9588543463909849,3.071573294111461,3308
1009,1009000.0,1.4639384333157082e+22,-0.95972366496173,3.0683985282277675,3308
1010,1010000.0,1.4681705506255118e+22,-0.9605931483226989,3.065220886093116,3308
1011,1011000.0,1.4724110608282662e+22,-0.9614627958222262,3.062040367164536,3308
1012,1012000.0,1.4766599722378826e+22,-0.9623326068118642,3.058856970901202,3308
1013,1013000.0,1.4809172931682717e+22,-0.9632025806463648,3.055670696764424,3308
1014,1014000.0,1.4851830319333442e+22,-0.9640727166836593,3.0524815442176343,3308
1015,1015000.0,1.4894571968470108e+22,-0.964943014284841,3.04928951272638,3308
1016,1016000.0,1.4937397962231826e+22,-0.9658134728141455,3.046094601758311,3308
1017,1017000.0,1.4980308383757702e+22,-0.9666840916389328,3.0428968107831693,3308
1018,1018000.0,1.5023303316186845e+22,-0.9675548701296685,3.0396961392727806,3308
1019,1019000.0,1.506638284265836e+22,-0.9684258076599053,3.036492586701041,3308
1020,1020000.0,1.510954704631136e+22,-0.9692969036062659,3.0332861525439117,3308
1021,1021000.0,1.515279601028495e+22,-0.9701681573484239,3.030076836279403,3308
1022,1022000.0,1.5196129817718237e+22,-0.9710395682690861,3.0268646373875683,3308
1023,1023000.0,1.523954855175033e+22,-0.9719111357539756,3.0236495553504943,3308
1024,1024000.0,1.5283052295520338e+22,-0.9727828591918123,3.0204315896522878,3308
1025,1025000.0,1.5326641132167368e+22,-0.9736547379742978,3.017210739779069,3308
1026,1026000.0,1.5370315144830529e+22,-0.9745267714960955,3.0139870052189597,3308
